X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.893346489828,57.7416232493619,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1DE,XXXXX
-152.892526250539,57.7409947264326,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1E1,XXXXX
-152.891711156713,57.7403662429984,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1E4,XXXXX
-152.890896007324,57.7397404908713,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1E7,XXXXX
-152.890090868313,57.739123032744,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1EA,XXXXX
-152.889300771534,57.7385166501837,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1ED,XXXXX
-152.888510701136,57.7379102627309,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F0,XXXXX
-152.887700694628,57.7372872715991,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F3,XXXXX
-152.886865637608,57.7366476314468,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F6,XXXXX
-152.886075648517,57.736041228916,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F9,XXXXX
-152.885240732943,57.7353988416176,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1FC,XXXXX
-152.884480737596,57.7348173279684,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1FF,XXXXX
-152.883720850878,57.7342330732823,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,202,XXXXX
-152.882945977692,57.7336377326773,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,205,XXXXX
-152.882361150131,57.7331864013877,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,208,XXXXX
-152.881741369677,57.7327073861654,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,20B,XXXXX
-152.881026515734,57.732159096543,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,20E,XXXXX
-152.88101618323,57.7314993267938,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,211,XXXXX
-152.881004875257,57.7307054228378,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,214,XXXXX
-152.880997838265,57.729938929074,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,217,XXXXX
-152.88098501001,57.7291942821015,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,21A,XXXXX
-152.880980807635,57.728501719125,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,21D,XXXXX
-152.880969124458,57.7278857331671,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,220,XXXXX
-152.89842087222,57.8431801183978,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,223,XXXXX
-152.912634730113,57.8041442680096,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,226,XXXXX
-152.916274421345,57.7639793594318,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,229,XXXXX
-152.880963908455,57.7272260081771,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,22C,XXXXX
-152.880954760109,57.7265279267723,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,22F,XXXXX
-152.880945189558,57.7258435278479,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,232,XXXXX
-152.880935703686,57.7251563923394,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,235,XXXXX
-152.880926133537,57.7244719932696,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,238,XXXXX
-152.880918253062,57.7237328638867,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,23B,XXXXX
-152.880910795079,57.7229800518574,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,23E,XXXXX
-152.880900334467,57.7221587817275,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,241,XXXXX
-152.880889451761,57.7213511940583,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,244,XXXXX
-152.880881825325,57.7206038547782,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,247,XXXXX
-152.880871365391,57.7197825843461,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,24A,XXXXX
-152.880860736777,57.7189667868378,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,24D,XXXXX
-152.880849601652,57.7181674083127,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,250,XXXXX
