X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.511233755285,57.763054344028,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,28C,XXXXX
-152.479723903336,57.775179684379,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,28F,XXXXX
-152.480511931604,57.7749752368756,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,292,XXXXX
-152.481977973913,57.7745965358159,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,295,XXXXX
-152.484919328428,57.7738340649413,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,298,XXXXX
-152.483414363069,57.7742233058344,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,29B,XXXXX
-152.485670692608,57.7736375283513,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,29E,XXXXX
-152.486894631125,57.7734672080153,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2A1,XXXXX
-152.488455352873,57.7732526328618,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2A4,XXXXX
-152.48988177988,57.7730681676758,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2A7,XXXXX
-152.491579702891,57.7728203482002,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2AA,XXXXX
-152.492719334516,57.7726601865034,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2AD,XXXXX
-152.494554692369,57.7724100293578,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B0,XXXXX
-152.495839548769,57.7716701313476,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B3,XXXXX
-152.497162093867,57.7709077287066,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B6,XXXXX
-152.498394905331,57.7701930875579,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B9,XXXXX
-152.4995729679,57.7695080523438,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2BC,XXXXX
-152.502535377775,57.7678055603068,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2BF,XXXXX
-152.501296383112,57.76851616513,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2C2,XXXXX
-152.500603662131,57.76891747705,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2C5,XXXXX
-152.501994291158,57.7681158965157,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2C8,XXXXX
-152.490215972901,57.7733910384621,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2CB,XXXXX
-152.510614181693,57.7640253982061,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2CE,XXXXX
-152.508956496235,57.7649903709971,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2D1,XXXXX
-152.507739290032,57.7656941022256,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2D4,XXXXX
-152.506204203582,57.7665906228797,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2D7,XXXXX
-152.505549748289,57.7669756076561,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2DA,XXXXX
-152.505046201817,57.7672711047301,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2DD,XXXXX
-152.50453165649,57.7675743617451,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E0,XXXXX
-152.504027569094,57.7678722653388,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E3,XXXXX
-152.516290691063,57.7606824485728,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E6,XXXXX
-152.515042989462,57.7614114175419,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E9,XXXXX
-152.513488516909,57.7623200718478,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2EC,XXXXX
-152.512240822875,57.7630655536524,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2EF,XXXXX
-152.511424184453,57.7635494778693,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2F2,XXXXX
-152.512906227429,57.7621267408403,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2F5,XXXXX
-152.475771380322,57.7748041185791,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2F8,XXXXX
-152.476658143864,57.7753352230576,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2FB,XXXXX
-152.423279924909,57.7862909334279,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2FE,XXXXX
-152.420354406487,57.7874398288607,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,301,XXXXX
-152.417744315122,57.7884475957754,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,304,XXXXX
-152.415847457628,57.7892313698817,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,307,XXXXX
-152.412023626693,57.7904952238221,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,30A,XXXXX
-152.407692017267,57.7937774012686,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,30D,XXXXX
-152.408486740294,57.7943567720415,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,310,XXXXX
-152.47762679222,57.7759153455754,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,313,XXXXX
-152.406425781446,57.792847179097,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,316,XXXXX
-152.409138169456,57.7949451174081,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,319,XXXXX
-152.410508363136,57.7917514366094,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,31C,XXXXX
